"demand","coef","Estimate","StdError","Zvalue","Pvalue","model","endogenous","FE","name","disag","level"
"total","tilda_rent",0.179671294791189,0.618208864522379,0.29063203,0.77133,"demo_sys","rate",TRUE,"demo_sys","CROP","COTTON"
"","N",78565,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","COTTON"
"","NFE",10825,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","COTTON"
"","residCov_11",3.15783799558252,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","COTTON"
"","residCov_22",0.0134948006828509,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","COTTON"
"","residCov_12",0.0253497925097814,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","COTTON"
"","JTest",0,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","COTTON"
"","FTest",465.639378867387,NA,NA,0,"demo_sys","rate",TRUE,"demo_sys","CROP","COTTON"
"gamma","(Intercept)",0.00000000000000136421947594918,0.038525713809603,0,1,"demo_sys","rate",TRUE,"demo_sys","CROP","WHEAT"
"gamma","tilda_rate",-0.27354511111029,0.422593576883834,-0.64730068,0.51744,"demo_sys","rate",TRUE,"demo_sys","CROP","WHEAT"
"gamma","tilda_county_acreage",0.3279570656254,0.11991617670767,2.73488594,0.00624,"demo_sys","rate",TRUE,"demo_sys","CROP","WHEAT"
"gamma","tilda_price",0.211786065642887,0.292867315386279,0.72314681,0.46959,"demo_sys","rate",TRUE,"demo_sys","CROP","WHEAT"
"gamma","tilda_rent",-0.177565251177696,0.352983448368911,-0.5030413,0.61494,"demo_sys","rate",TRUE,"demo_sys","CROP","WHEAT"
"theta","(Intercept)",-0.000000000000000122841620542561,0.00330504237443724,0,1,"demo_sys","rate",TRUE,"demo_sys","CROP","WHEAT"
"theta","tilda_rate",-0.0335305551291973,0.0159042950760992,-2.10827044,0.03501,"demo_sys","rate",TRUE,"demo_sys","CROP","WHEAT"
"theta","tilda_county_acreage",-0.00111142010051907,0.00487804945302378,-0.22784109,0.81977,"demo_sys","rate",TRUE,"demo_sys","CROP","WHEAT"
"theta","tilda_price",-0.0127037503597412,0.0234393777529904,-0.54198326,0.58783,"demo_sys","rate",TRUE,"demo_sys","CROP","WHEAT"
"theta","tilda_rent",-0.00409029281658756,0.0276605135531608,-0.1478748,0.88244,"demo_sys","rate",TRUE,"demo_sys","CROP","WHEAT"
"total","tilda_rate",-0.297903546811081,0.400273656138801,-0.7442497,0.45673,"demo_sys","rate",TRUE,"demo_sys","CROP","WHEAT"
"total","tilda_county_acreage",0.326481147450037,0.121208651851611,2.69354656,0.00707,"demo_sys","rate",TRUE,"demo_sys","CROP","WHEAT"
"total","tilda_price",0.196391837975547,0.290097635020933,0.67698531,0.49842,"demo_sys","rate",TRUE,"demo_sys","CROP","WHEAT"
"total","tilda_rent",-0.180929250122916,0.357188401033134,-0.50653731,0.61248,"demo_sys","rate",TRUE,"demo_sys","CROP","WHEAT"
"","N",264157,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","WHEAT"
"","NFE",42126,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","WHEAT"
"","residCov_11",3.58607257203555,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","WHEAT"
"","residCov_22",0.0127735719663294,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","WHEAT"
"","residCov_12",0.0255431186679722,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","WHEAT"
"","JTest",0,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","WHEAT"
"","FTest",1329.43017327714,NA,NA,0,"demo_sys","rate",TRUE,"demo_sys","CROP","WHEAT"
"gamma","(Intercept)",-0.0000000000000012520159800271,0.0386628995440135,0,1,"demo_sys","rate",TRUE,"demo_sys","CROP","PEANUTS"
"gamma","tilda_rate",-0.0258706564128047,0.290054548873351,-0.08919238,0.92893,"demo_sys","rate",TRUE,"demo_sys","CROP","PEANUTS"
"gamma","tilda_county_acreage",0.473555927260755,0.118067360326502,4.0108962,0.00006,"demo_sys","rate",TRUE,"demo_sys","CROP","PEANUTS"
"gamma","tilda_price",0.639623422812566,1.03704925137577,0.61677246,0.53738,"demo_sys","rate",TRUE,"demo_sys","CROP","PEANUTS"
"gamma","tilda_rent",0.56219236223165,1.44775743279268,0.38831944,0.69778,"demo_sys","rate",TRUE,"demo_sys","CROP","PEANUTS"
"theta","(Intercept)",-0.0000000000000000209841540320708,0.00293805614621018,0,1,"demo_sys","rate",TRUE,"demo_sys","CROP","PEANUTS"
"theta","tilda_rate",0.000460220482521537,0.0209114133253203,0.0220081,0.98244,"demo_sys","rate",TRUE,"demo_sys","CROP","PEANUTS"
"theta","tilda_county_acreage",0.00581027219848631,0.00589308832281946,0.98594691,0.32416,"demo_sys","rate",TRUE,"demo_sys","CROP","PEANUTS"
"theta","tilda_price",0.101014677016573,0.087339129776867,1.15657984,0.24744,"demo_sys","rate",TRUE,"demo_sys","CROP","PEANUTS"
"theta","tilda_rent",-0.0627287913943124,0.0605580411962934,-1.03584578,0.30027,"demo_sys","rate",TRUE,"demo_sys","CROP","PEANUTS"
"total","tilda_rate",-0.0254223421362606,0.299764661513625,-0.08480767,0.93241,"demo_sys","rate",TRUE,"demo_sys","CROP","PEANUTS"
"total","tilda_county_acreage",0.482117688297833,0.122778631207213,3.92672311,0.00009,"demo_sys","rate",TRUE,"demo_sys","CROP","PEANUTS"
"total","tilda_price",0.805249453296786,1.04479938937184,0.7707216,0.44087,"demo_sys","rate",TRUE,"demo_sys","CROP","PEANUTS"
"total","tilda_rent",0.464197923423433,1.321309856344,0.35131648,0.72535,"demo_sys","rate",TRUE,"demo_sys","CROP","PEANUTS"
"","N",20372,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","PEANUTS"
"","NFE",3680,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","PEANUTS"
"","residCov_11",2.13616044944549,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","PEANUTS"
"","residCov_22",0.0113330196069649,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","PEANUTS"
"","residCov_12",0.0111853729711456,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","PEANUTS"
"","JTest",0,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","PEANUTS"
"","FTest",600.635887370575,NA,NA,0,"demo_sys","rate",TRUE,"demo_sys","CROP","PEANUTS"
"gamma","(Intercept)",0.00000000000000179802796293143,0.0231810565300513,0,1,"demo_sys","rate",TRUE,"demo_sys","CROP","SOYBEANS"
"gamma","tilda_rate",-0.0755364847679185,0.253904311250862,-0.29749981,0.76608,"demo_sys","rate",TRUE,"demo_sys","CROP","SOYBEANS"
"gamma","tilda_county_acreage",0.474193033012938,0.121376575964884,3.90679198,0.00009,"demo_sys","rate",TRUE,"demo_sys","CROP","SOYBEANS"
"gamma","tilda_price",1.41741150800606,6.42921495604102,0.22046417,0.82551,"demo_sys","rate",TRUE,"demo_sys","CROP","SOYBEANS"
"gamma","tilda_rent",0.0133881574243114,1.4743643934425,0.00908063,0.99275,"demo_sys","rate",TRUE,"demo_sys","CROP","SOYBEANS"
"theta","(Intercept)",-0.00000000000000029616463819936,0.001583821475538,0,1,"demo_sys","rate",TRUE,"demo_sys","CROP","SOYBEANS"
"theta","tilda_rate",-0.00691644040715796,0.0196570757683441,-0.351855,0.72495,"demo_sys","rate",TRUE,"demo_sys","CROP","SOYBEANS"
"theta","tilda_county_acreage",-0.00308067291465575,0.010606497903481,-0.29045147,0.77147,"demo_sys","rate",TRUE,"demo_sys","CROP","SOYBEANS"
"theta","tilda_price",0.0624600777053072,0.250436270693761,0.24940508,0.80305,"demo_sys","rate",TRUE,"demo_sys","CROP","SOYBEANS"
"theta","tilda_rent",0.0184309670187188,0.224576448755676,0.0820699,0.93459,"demo_sys","rate",TRUE,"demo_sys","CROP","SOYBEANS"
"total","tilda_rate",-0.081930481579613,0.267217123285845,-0.30660641,0.75914,"demo_sys","rate",TRUE,"demo_sys","CROP","SOYBEANS"
"total","tilda_county_acreage",0.469651526465161,0.13322259561883,3.52531434,0.00042,"demo_sys","rate",TRUE,"demo_sys","CROP","SOYBEANS"
"total","tilda_price",1.56840321864182,6.63560600976942,0.23636172,0.81315,"demo_sys","rate",TRUE,"demo_sys","CROP","SOYBEANS"
"total","tilda_rent",0.0320658811309592,1.71297651964667,0.01871939,0.98506,"demo_sys","rate",TRUE,"demo_sys","CROP","SOYBEANS"
"","N",218579,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","SOYBEANS"
"","NFE",27579,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","SOYBEANS"
"","residCov_11",4.19361771172117,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","SOYBEANS"
"","residCov_22",0.0156132011860904,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","SOYBEANS"
"","residCov_12",0.0488052094644427,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","SOYBEANS"
"","JTest",0,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","SOYBEANS"
"","FTest",1383.67724239011,NA,NA,0,"demo_sys","rate",TRUE,"demo_sys","CROP","SOYBEANS"
"gamma","(Intercept)",-0.00000000000000107184303078858,0.0345948390050202,0,1,"demo_sys","rate",TRUE,"demo_sys","CROP","OATS"
"gamma","tilda_rate",-0.185620788471188,0.331900135714631,-0.55926699,0.57598,"demo_sys","rate",TRUE,"demo_sys","CROP","OATS"
"gamma","tilda_county_acreage",0.448467107233238,0.171502982432347,2.61492308,0.00892,"demo_sys","rate",TRUE,"demo_sys","CROP","OATS"
"gamma","tilda_price",0.191475887457319,0.707522436427212,0.27062871,0.78668,"demo_sys","rate",TRUE,"demo_sys","CROP","OATS"
"gamma","tilda_rent",0.60128291003783,1.66651152260768,0.36080333,0.71825,"demo_sys","rate",TRUE,"demo_sys","CROP","OATS"
"theta","(Intercept)",-0.0000000000000000342589246738945,0.00688967058949979,0,1,"demo_sys","rate",TRUE,"demo_sys","CROP","OATS"
"theta","tilda_rate",-0.0197589402155454,0.0630511110347686,-0.31337973,0.75399,"demo_sys","rate",TRUE,"demo_sys","CROP","OATS"
"theta","tilda_county_acreage",0.000991064194199082,0.00886263579038062,0.11182499,0.91096,"demo_sys","rate",TRUE,"demo_sys","CROP","OATS"
"theta","tilda_price",0.0249618352101425,0.0639017263025225,0.3906285,0.69607,"demo_sys","rate",TRUE,"demo_sys","CROP","OATS"
"theta","tilda_rent",0.0157585376498541,0.115499343936262,0.13643833,0.89147,"demo_sys","rate",TRUE,"demo_sys","CROP","OATS"
"total","tilda_rate",-0.201712058624569,0.304825674464696,-0.66172923,0.50814,"demo_sys","rate",TRUE,"demo_sys","CROP","OATS"
"total","tilda_county_acreage",0.449902631119692,0.168251509841348,2.67398867,0.0075,"demo_sys","rate",TRUE,"demo_sys","CROP","OATS"
"total","tilda_price",0.221217312216887,0.771017820609391,0.28691595,0.77418,"demo_sys","rate",TRUE,"demo_sys","CROP","OATS"
"total","tilda_rent",0.626516787063729,1.62875386218399,0.3846602,0.70049,"demo_sys","rate",TRUE,"demo_sys","CROP","OATS"
"","N",17238,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","OATS"
"","NFE",4355,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","OATS"
"","residCov_11",1.99766502563896,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","OATS"
"","residCov_22",0.0144650887245725,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","OATS"
"","residCov_12",-0.0213534006189451,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","OATS"
"","JTest",0,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","OATS"
"","FTest",159.680883210931,NA,NA,0,"demo_sys","rate",TRUE,"demo_sys","CROP","OATS"
"gamma","(Intercept)",0.000000000000000650430201542803,0.0450225473654354,0,1,"demo_sys","rate",TRUE,"demo_sys","CROP","SORGHUM"
"gamma","tilda_rate",0.166981729730503,0.445036857302617,0.37520877,0.70751,"demo_sys","rate",TRUE,"demo_sys","CROP","SORGHUM"
"gamma","tilda_county_acreage",0.443431127416979,0.0748786018707559,5.92200063,0,"demo_sys","rate",TRUE,"demo_sys","CROP","SORGHUM"
"gamma","tilda_price",0.23005126212769,1.12558284383173,0.20438412,0.83805,"demo_sys","rate",TRUE,"demo_sys","CROP","SORGHUM"
"gamma","tilda_rent",-0.105112742278555,1.47740924066625,-0.07114667,0.94328,"demo_sys","rate",TRUE,"demo_sys","CROP","SORGHUM"
"theta","(Intercept)",-0.000000000000000298578322514057,0.00288672540672546,0,1,"demo_sys","rate",TRUE,"demo_sys","CROP","SORGHUM"
"theta","tilda_rate",-0.0265478102423507,0.0131561527934067,-2.01790072,0.0436,"demo_sys","rate",TRUE,"demo_sys","CROP","SORGHUM"
"theta","tilda_county_acreage",-0.00321272838121463,0.00469798064030313,-0.68385305,0.49407,"demo_sys","rate",TRUE,"demo_sys","CROP","SORGHUM"
"theta","tilda_price",-0.00480269006185943,0.0373824270490663,-0.12847454,0.89777,"demo_sys","rate",TRUE,"demo_sys","CROP","SORGHUM"
"theta","tilda_rent",-0.00452837658949331,0.18625950990159,-0.02431219,0.9806,"demo_sys","rate",TRUE,"demo_sys","CROP","SORGHUM"
"total","tilda_rate",0.136000920213327,0.437388717342379,0.31093834,0.75585,"demo_sys","rate",TRUE,"demo_sys","CROP","SORGHUM"
"total","tilda_county_acreage",0.438793775267598,0.0801271176705727,5.47622064,0,"demo_sys","rate",TRUE,"demo_sys","CROP","SORGHUM"
"total","tilda_price",0.224143707155492,1.12093899122121,0.19996067,0.84151,"demo_sys","rate",TRUE,"demo_sys","CROP","SORGHUM"
"total","tilda_rent",-0.109165128786657,1.43765414715894,-0.07593282,0.93947,"demo_sys","rate",TRUE,"demo_sys","CROP","SORGHUM"
"","N",42613,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","SORGHUM"
"","NFE",6667,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","SORGHUM"
"","residCov_11",3.25932588682005,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","SORGHUM"
"","residCov_22",0.0136722544932581,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","SORGHUM"
"","residCov_12",0.0245511292575484,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","SORGHUM"
"","JTest",0,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","SORGHUM"
"","FTest",442.170095798317,NA,NA,0,"demo_sys","rate",TRUE,"demo_sys","CROP","SORGHUM"
"gamma","(Intercept)",0.000000000000000514056933758395,0.0816353372053259,0,1,"demo_sys","rate",TRUE,"demo_sys","CROP","CANOLA"
"gamma","tilda_rate",-0.290806633317223,0.315305408075204,-0.92230144,0.35637,"demo_sys","rate",TRUE,"demo_sys","CROP","CANOLA"
"gamma","tilda_county_acreage",0.583705107481239,0.0771598665600319,7.56487969,0,"demo_sys","rate",TRUE,"demo_sys","CROP","CANOLA"
"gamma","tilda_price",0.274155733660174,1.10575556429988,0.24793521,0.80418,"demo_sys","rate",TRUE,"demo_sys","CROP","CANOLA"
"gamma","tilda_rent",-0.457458477488042,2.72181624653375,-0.16807104,0.86653,"demo_sys","rate",TRUE,"demo_sys","CROP","CANOLA"
"theta","(Intercept)",0.000000000000000015245197588665,0.00387428781153678,0,1,"demo_sys","rate",TRUE,"demo_sys","CROP","CANOLA"
"theta","tilda_rate",-0.0611128539582763,0.01324505267214,-4.61401366,0,"demo_sys","rate",TRUE,"demo_sys","CROP","CANOLA"
"theta","tilda_county_acreage",-0.000966232215227897,0.00454619933022195,-0.21253626,0.83169,"demo_sys","rate",TRUE,"demo_sys","CROP","CANOLA"
"theta","tilda_price",-0.00443397527914318,0.0545614110613867,-0.08126577,0.93523,"demo_sys","rate",TRUE,"demo_sys","CROP","CANOLA"
"theta","tilda_rent",-0.0520850189433595,0.0951482276257474,-0.54740924,0.5841,"demo_sys","rate",TRUE,"demo_sys","CROP","CANOLA"
"total","tilda_rate",-0.334147463963485,0.293470888697524,-1.13860515,0.25487,"demo_sys","rate",TRUE,"demo_sys","CROP","CANOLA"
"total","tilda_county_acreage",0.58217488058697,0.0732322603978584,7.94970519,0,"demo_sys","rate",TRUE,"demo_sys","CROP","CANOLA"
"total","tilda_price",0.268506158635346,1.03966843780143,0.25826133,0.79621,"demo_sys","rate",TRUE,"demo_sys","CROP","CANOLA"
"total","tilda_rent",-0.485716762965636,2.55885073420929,-0.18981833,0.84945,"demo_sys","rate",TRUE,"demo_sys","CROP","CANOLA"
"","N",8876,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","CANOLA"
"","NFE",1758,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","CANOLA"
"","residCov_11",3.00150533769864,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","CANOLA"
"","residCov_22",0.00839692648192222,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","CANOLA"
"","residCov_12",0.00924273781750919,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","CANOLA"
"","JTest",0,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","CANOLA"
"","FTest",243.114729572655,NA,NA,0,"demo_sys","rate",TRUE,"demo_sys","CROP","CANOLA"
"gamma","(Intercept)",0.00000000000000117906420509942,0.0899493132236113,0,1,"demo_sys","rate",TRUE,"demo_sys","CROP","BARLEY"
"gamma","tilda_rate",-0.222208115177249,0.343503436707742,-0.6468876,0.5177,"demo_sys","rate",TRUE,"demo_sys","CROP","BARLEY"
"gamma","tilda_county_acreage",0.475838274229774,0.131099166957377,3.62960563,0.00028,"demo_sys","rate",TRUE,"demo_sys","CROP","BARLEY"
"gamma","tilda_price",0.080129297625201,1.2222736629897,0.06555758,0.94773,"demo_sys","rate",TRUE,"demo_sys","CROP","BARLEY"
"gamma","tilda_rent",-0.177871268383809,0.69046568783986,-0.25761058,0.79671,"demo_sys","rate",TRUE,"demo_sys","CROP","BARLEY"
"theta","(Intercept)",-0.000000000000000000205315847438711,0.00249219818564769,0,1,"demo_sys","rate",TRUE,"demo_sys","CROP","BARLEY"
"theta","tilda_rate",-0.010310992428713,0.0121789962784293,-0.84662087,0.39721,"demo_sys","rate",TRUE,"demo_sys","CROP","BARLEY"
"theta","tilda_county_acreage",0.00285244628679468,0.0049346188451364,0.57804795,0.56323,"demo_sys","rate",TRUE,"demo_sys","CROP","BARLEY"
"theta","tilda_price",-0.0243880855810055,0.0575599333888885,-0.42369899,0.67179,"demo_sys","rate",TRUE,"demo_sys","CROP","BARLEY"
"theta","tilda_rent",-0.00112466206405749,0.0559150341178681,-0.02011377,0.98395,"demo_sys","rate",TRUE,"demo_sys","CROP","BARLEY"
"total","tilda_rate",-0.23022792141277,0.344807180916876,-0.66770048,0.50432,"demo_sys","rate",TRUE,"demo_sys","CROP","BARLEY"
"total","tilda_county_acreage",0.48004802363501,0.13719415038649,3.49904148,0.00047,"demo_sys","rate",TRUE,"demo_sys","CROP","BARLEY"
"total","tilda_price",0.0537870118761663,1.24881572016693,0.04307042,0.96565,"demo_sys","rate",TRUE,"demo_sys","CROP","BARLEY"
"total","tilda_rent",-0.178795885380029,0.726051324617339,-0.24625791,0.80548,"demo_sys","rate",TRUE,"demo_sys","CROP","BARLEY"
"","N",38088,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","BARLEY"
"","NFE",6270,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","BARLEY"
"","residCov_11",3.04757437433048,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","BARLEY"
"","residCov_22",0.012067241461723,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","BARLEY"
"","residCov_12",0.0366795053943033,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","BARLEY"
"","JTest",0,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","BARLEY"
"","FTest",460.468204362179,NA,NA,0,"demo_sys","rate",TRUE,"demo_sys","CROP","BARLEY"
"gamma","(Intercept)",-0.000000000000000309817017083145,0.0276874769256286,0,1,"demo_sys","rate",TRUE,"demo_sys","CROP","DRY BEANS"
"gamma","tilda_rate",-0.219293478355406,0.426270306649772,-0.514447,0.60694,"demo_sys","rate",TRUE,"demo_sys","CROP","DRY BEANS"
"gamma","tilda_county_acreage",0.221598773879897,0.070701199908915,3.13430004,0.00172,"demo_sys","rate",TRUE,"demo_sys","CROP","DRY BEANS"
"gamma","tilda_price",0.661246663676046,0.650796615975086,1.01605732,0.3096,"demo_sys","rate",TRUE,"demo_sys","CROP","DRY BEANS"
"gamma","tilda_rent",-0.0837295104685806,0.933491616209246,-0.08969498,0.92853,"demo_sys","rate",TRUE,"demo_sys","CROP","DRY BEANS"
"theta","(Intercept)",-0.0000000000000000160919273569416,0.00403520497206402,0,1,"demo_sys","rate",TRUE,"demo_sys","CROP","DRY BEANS"
"theta","tilda_rate",-0.0470872424347973,0.0167425728535167,-2.81242572,0.00492,"demo_sys","rate",TRUE,"demo_sys","CROP","DRY BEANS"
"theta","tilda_county_acreage",0.00027649508852054,0.00531358886944092,0.05203547,0.9585,"demo_sys","rate",TRUE,"demo_sys","CROP","DRY BEANS"
"theta","tilda_price",0.0239881188912095,0.0120311792677676,1.9938294,0.04617,"demo_sys","rate",TRUE,"demo_sys","CROP","DRY BEANS"
"theta","tilda_rent",0.0237147658182887,0.064152244560251,0.36966385,0.71163,"demo_sys","rate",TRUE,"demo_sys","CROP","DRY BEANS"
"total","tilda_rate",-0.256054795610512,0.402374882996222,-0.63635879,0.52454,"demo_sys","rate",TRUE,"demo_sys","CROP","DRY BEANS"
"total","tilda_county_acreage",0.221936539941017,0.0749888736524957,2.95959293,0.00308,"demo_sys","rate",TRUE,"demo_sys","CROP","DRY BEANS"
"total","tilda_price",0.701096846151932,0.672588607638049,1.04238585,0.29723,"demo_sys","rate",TRUE,"demo_sys","CROP","DRY BEANS"
"total","tilda_rent",-0.0620003703831343,0.964405491658088,-0.06428869,0.94874,"demo_sys","rate",TRUE,"demo_sys","CROP","DRY BEANS"
"","N",17072,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","DRY BEANS"
"","NFE",4196,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","DRY BEANS"
"","residCov_11",2.28770790585296,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","DRY BEANS"
"","residCov_22",0.0104520952478937,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","DRY BEANS"
"","residCov_12",0.0151881388904076,NA,NA,NA,"demo_sys","rate",TRUE,"demo_sys","CROP","DRY BEANS"
